 |-Pesticide|                        1               2               3               4               5              6
    # Name                        PSOL            PHLS            PHLF            PWOF            PKOC            PCST
    1 2, 4-D 4L           0.231800E+05    0.550000E+01    0.900000E+01    0.450000E+00    0.480000E+02    0.686000E+01
    2 2, 4, 5-T Acid      0.150000E+03    0.300000E+02    0.900000E+01    0.450000E+00    0.800000E+02    0.150000E+02
    3 AATREX 4L           0.330000E+02    0.146000E+03    0.500000E+01    0.450000E+00    0.147000E+03    0.700000E+01
    4 Abate               0.000000E+00    0.300000E+02    0.500000E+01    0.650000E+00    0.107000E+04    0.120000E+02
    5 Acaraben            0.130000E+02    0.200000E+02    0.100000E+02    0.500000E-01    0.281000E+04    0.370000E+02
    6 Accelerate          0.100000E+06    0.280000E+01    0.700000E+01    0.900000E+00    0.850000E+02    0.800000E+02
    7 ACCLAIM             0.100000E+01    0.100000E+01    0.500000E+01    0.200000E+00    0.949000E+04    0.671000E+03
    8 ACTELLIC            0.900000E+01    0.240000E+02    0.990000E+02    0.900000E+00    0.234020E+05    0.135000E+03
    9 Alanap-L            0.231000E+06    0.245800E+03    0.700000E+01    0.950000E+00    0.221200E+04    0.700000E+01
   10 Alar                0.100000E+06    0.700000E+00    0.400000E+01    0.950000E+00    0.900000E+01    0.800000E+01
   11 Aldrin              0.000000E+00    0.365000E+03    0.200000E+01    0.500000E-01    0.175000E+05    0.490000E+02
   12 Aliette WDG         0.120000E+06    0.100000E+00    0.100000E+00    0.950000E+00    0.166000E+03    0.699000E+01
   13 Ally                0.279000E+04    0.280000E+02    0.250000E+02    0.800000E+00    0.420000E+02    0.558700E+02
   14 AMDRO               0.000000E+00    0.180000E+02    0.990000E+02    0.900000E+00    0.730000E+06    0.270000E+02
   15 AMIBEN 10G          0.700000E+03    0.140000E+02    0.700000E+01    0.950000E+00    0.210000E+02    0.280000E+02
   16 AMID-THIN           0.100000E+03    0.100000E+02    0.500000E+01    0.600000E+00    0.100000E+03    0.343610E+03
   17 AMITROL-T           0.360000E+06    0.100000E+01    0.500000E+01    0.950000E+00    0.930000E+02    0.270000E+02
   18 Ammo                0.000000E+00    0.360000E+02    0.500000E+01    0.400000E+00    0.610000E+05    0.259540E+03
   19 Antor               0.105000E+03    0.900000E+01    0.100000E+02    0.400000E+00    0.100000E+03    0.200000E+02
   20 A-Rest              0.440000E+03    0.150000E+02    0.300000E+02    0.500000E+00    0.830000E+02    0.101000E+04
   21 ARSENAL 2EC         0.500000E+06    0.900000E+02    0.300000E+02    0.800000E+00    0.100000E+03    0.392690E+03
   22 Arsonate            0.140000E+07    0.180000E+03    0.100000E+02    0.100000E+01    0.700000E+04    0.300000E+01
   23 ASANA XL            0.000000E+00    0.108000E+03    0.800000E+01    0.400000E+00    0.527300E+04    0.782400E+02
   24 ASSET 2.5 Gal       0.857000E+03    0.450000E+02    0.180000E+02    0.650000E+00    0.350000E+02    0.500000E+02
   25 ASSET Gal           0.857000E+03    0.450000E+02    0.180000E+02    0.650000E+00    0.350000E+02    0.480000E+02
   26 ASSURE              0.000000E+00    0.600000E+02    0.150000E+02    0.200000E+00    0.540000E+03    0.398530E+03
   27 Asulox              0.550000E+06    0.100000E+02    0.300000E+01    0.950000E+00    0.138000E+03    0.270000E+02
   28 AVENGE              0.817000E+06    0.870000E+02    0.300000E+01    0.950000E+00    0.550000E+05    0.430000E+02
   29 Azodrin             0.100000E+07    0.300000E+02    0.200000E+01    0.950000E+00    0.100000E+01    0.290000E+02
   30 BALAN EC            0.000000E+00    0.510000E+02    0.100000E+02    0.200000E+00    0.824000E+04    0.570000E+02
   31 BANOL               0.100000E+07    0.120000E+02    0.150000E+02    0.950000E+00    0.309000E+03    0.960000E+02
   32 BANVEL              0.360000E+06    0.180000E+02    0.900000E+01    0.650000E+00    0.130000E+02    0.599200E+02
   33 BASAGRAN            0.230000E+07    0.270000E+02    0.200000E+01    0.600000E+00    0.350000E+02    0.528000E+02
   34 Basta               0.137000E+07    0.700000E+01    0.400000E+01    0.950000E+00    0.430000E+03    0.165000E+03
   35 BAYGON EC           0.180000E+04    0.145000E+03    0.990000E+02    0.900000E+00    0.290000E+02    0.106000E+03
   36 BAYLETON 1%         0.720000E+02    0.600000E+01    0.800000E+01    0.300000E+00    0.319000E+03    0.629000E+02
   37 Baytex              0.400000E+01    0.340000E+02    0.200000E+01    0.650000E+00    0.139000E+04    0.244000E+03
   38 BAYTHROID II        0.200000E+03    0.600000E+02    0.500000E+01    0.400000E+00    0.310000E+05    0.200000E+01
   39 BENLATE 50WP 2#     0.300000E+01    0.670000E+02    0.600000E+01    0.250000E+00    0.191000E+04    0.138900E+02
   40 Benzex              0.000000E+00    0.600000E+03    0.300000E+01    0.500000E-01    0.550000E+05    0.580000E+02
   41 Betamix             0.500000E+01    0.300000E+02    0.500000E+01    0.700000E+00    0.240000E+04    0.112000E+03
   42 BETANEX             0.900000E+01    0.770000E+01    0.500000E+01    0.700000E+00    0.150000E+03    0.126000E+03
   43 Bidrin 8.00EC       0.100000E+07    0.300000E+01    0.200000E+02    0.700000E+00    0.640000E+02    0.131900E+02
   44 BLADEX 4L           0.170000E+03    0.170000E+02    0.100000E+02    0.700000E+00    0.218000E+03    0.210500E+02
   45 BOLERO 8 EC         0.280000E+02    0.210000E+02    0.700000E+01    0.700000E+00    0.900000E+03    0.110000E+02
   46 BOLSTAR 6           0.000000E+00    0.143000E+03    0.500000E+00    0.550000E+00    0.259000E+05    0.270000E+02
   47 MCPA 4.00L          0.825000E+03    0.250000E+02    0.800000E+01    0.500000E+00    0.110000E+03    0.107500E+02
   48 BOTRAN              0.700000E+01    0.600000E+02    0.400000E+01    0.500000E+00    0.100000E+04    0.310000E+02
   49 BRAVO 720           0.100000E+01    0.480000E+02    0.500000E+01    0.500000E+00    0.500000E+04    0.237900E+02
   50 Brom-O-Sol          0.134000E+05    0.550000E+02    0.990000E+02    0.900000E+00    0.220000E+02    0.800000E+01
   51 BROOT 15G           0.580000E+02    0.200000E+02    0.990000E+02    0.900000E+00    0.356000E+03    0.290000E+02
   52 BUCTRIL             0.270000E+02    0.700000E+01    0.300000E+01    0.200000E+00    0.107900E+04    0.150560E+03
   53 BUTYRAC 200         0.800000E+01    0.700000E+01    0.900000E+01    0.450000E+00    0.201000E+03    0.281960E+03
   54 CAPAROL 4L          0.330000E+02    0.261000E+03    0.100000E+02    0.500000E+00    0.383000E+03    0.150000E+02
   55 CARBAMATE WDG       0.120000E+03    0.170000E+02    0.300000E+01    0.900000E+00    0.300000E+03    0.174900E+02
   56 Carbofos            0.145000E+03    0.250000E+02    0.300000E+01    0.900000E+00    0.180000E+04    0.139500E+02
   57 CASORON 50W         0.210000E+02    0.550000E+02    0.500000E+01    0.450000E+00    0.171000E+03    0.710000E+02
   58 CARZOL              0.820000E+06    0.120000E+02    0.300000E+02    0.950000E+00    0.275000E+03    0.750000E+02
   59 Cerone              0.124000E+07    0.700000E+01    0.500000E+01    0.950000E+00    0.100000E+01    0.330000E+02
   60 Chem-Hoe            0.250000E+03    0.100000E+02    0.200000E+01    0.500000E+00    0.980000E+02    0.110000E+02
   61 Chlordane           0.000000E+00    0.365000E+03    0.250000E+01    0.500000E-01    0.600000E+05    0.130000E+02
   62 Chopper             0.500000E+06    0.900000E+02    0.300000E+02    0.800000E+00    0.100000E+03    0.107200E+04
   63 Classic             0.120000E+04    0.525000E+02    0.150000E+02    0.900000E+00    0.910000E+02    0.360730E+03
   64 Cobra               0.000000E+00    0.300000E+01    0.200000E+01    0.200000E+00    0.100000E+05    0.177150E+03
   65 COMITE              0.100000E+01    0.400000E+02    0.500000E+01    0.200000E+00    0.410000E+05    0.220000E+02
   66 COMMAND 3 ME        0.110000E+04    0.870000E+02    0.300000E+01    0.800000E+00    0.274000E+03    0.566900E+02
   67 Cotoran 4L          0.110000E+03    0.189000E+03    0.300000E+02    0.500000E+00    0.100000E+03    0.257400E+02
   68 COUNTER 15G         0.500000E+01    0.500000E+01    0.250000E+01    0.600000E+00    0.650000E+03    0.809000E+01
   69 Crossbow            0.210000E+07    0.460000E+02    0.150000E+02    0.950000E+00    0.200000E+02    0.520000E+02
   70 CURACRON 8E         0.280000E+02    0.190000E+01    0.300000E+01    0.900000E+00    0.201600E+04    0.270000E+02
   71 CYGON 2E            0.398000E+05    0.300000E+01    0.300000E+01    0.950000E+00    0.200000E+02    0.114090E+03
   72 CYTEX               0.700000E+03    0.200000E+02    0.100000E+02    0.500000E+00    0.100000E+05    0.147660E+03
   73 CYTHION             0.130000E+03    0.100000E+01    0.300000E+01    0.900000E+00    0.120000E+04    0.250000E+02
   74 DACAMINE 4D         0.231800E+05    0.550000E+01    0.900000E+01    0.450000E+00    0.480000E+02    0.180000E+02
   75 DACTHAL FLOWABL     0.100000E+01    0.500000E+02    0.100000E+02    0.300000E+00    0.560000E+04    0.180000E+02
   76 DACTHAL 75W 1 L     0.100000E+01    0.500000E+02    0.100000E+02    0.300000E+00    0.560000E+04    0.818000E+01
   77 DACTHAL 75W 4 L     0.100000E+01    0.500000E+02    0.100000E+02    0.300000E+00    0.560000E+04    0.818000E+01
   78 DACTHAL 75W 24      0.100000E+01    0.500000E+02    0.100000E+02    0.300000E+00    0.560000E+04    0.818000E+01
   79 Dalapon             0.900000E+06    0.300000E+02    0.370000E+02    0.950000E+00    0.100000E+01    0.800000E+01
   80 Dasanit             0.154000E+04    0.300000E+02    0.400000E+01    0.900000E+00    0.300000E+03    0.170000E+02
   81 DDT                 0.000000E+00    0.120000E+03    0.100000E+02    0.500000E-01    0.240000E+06    0.140000E+02
   82 Dedweed             0.866000E+06    0.250000E+02    0.700000E+01    0.950000E+00    0.200000E+02    0.129000E+03
   83 DEF 6               0.230000E+02    0.745000E+03    0.700000E+01    0.250000E+00    0.770000E+04    0.240000E+02
   84 Dessocant L-10      0.170000E+05    0.100000E+05    0.300000E+01    0.950000E+00    0.100000E+06    0.124000E+03
   85 DEVRINOL 2E         0.740000E+02    0.480000E+02    0.150000E+02    0.600000E+00    0.462000E+03    0.392000E+03
   86 DIBROM 8E           0.200000E+01    0.100000E+01    0.500000E+00    0.900000E+00    0.157000E+03    0.200000E+02
   87 Dieldrin            0.000000E+00    0.140000E+04    0.500000E+01    0.500000E-01    0.120000E+05    0.140000E+02
   88 DIMILIN 2F          0.000000E+00    0.800000E+01    0.270000E+02    0.500000E-01    0.870000E+04    0.216000E+03
   89 Dinitro Phenol      0.520000E+02    0.300000E+02    0.100000E+02    0.900000E+00    0.300000E+02    0.500000E+01
   90 Dinitro Salts       0.220000E+04    0.200000E+02    0.100000E+02    0.900000E+00    0.630000E+02    0.500000E+01
   91 DIQUAT              0.718000E+06    0.100000E+04    0.300000E+02    0.950000E+00    0.500000E+03    0.112760E+03
   92 Dinoseb             0.520000E+02    0.300000E+02    0.230000E+02    0.100000E+01    0.300000E+02    0.500000E+01
